TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
0,0.64,0,19.22,14.12,851.5,0,0,0,-3.12
1,0.64,0.74,19.22,14.12,851.5,40,11,0,-3.12
2,0.62,0.74,19.22,14.12,851.5,40,10,0,-3.12
3,0.66,0.74,19.22,14.12,851.5,40,10,0,-3.12
4,0.5,0.74,19.61,14.12,847.5,40,10,0,-3.12
5,0.38,0.74,19.22,14.12,851.5,40,11,-0.78,-3.12
6,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
7,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
8,0.14,0.74,19.22,14.12,839.75,40,11,-0.78,-3.12
9,0.1,0.74,19.22,14.12,835.75,41,12,-0.78,-3.12
10,0.1,0.74,19.22,14.12,832,41,12,0,-3.12
