TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0.76,0.74,19.22,14.51,851.5,42,11,0,-1.56
14,0.7,0.74,19.61,14.51,855.25,42,9,0,-1.56
15,0.36,0.74,19.22,14.51,851.5,42,10,0,-1.56
16,0.36,0.74,19.22,14.51,851.5,42,10,0,-1.56
17,0.36,0.74,19.22,14.51,851.5,42,10,0,-1.56
18,0.74,0.74,19.22,14.51,847.5,42,10,0,-1.56
19,0.74,0.74,19.22,14.51,847.5,42,10,0,-1.56
20,0.74,0.74,19.22,14.51,847.5,42,10,0,-1.56
21,0.74,0.74,19.61,14.51,847.5,42,11,0,-1.56
22,0.74,0.74,19.61,14.51,847.5,42,11,0,-1.56
23,0.74,0.74,19.22,14.51,843.75,42,11,-0.78,-1.56
24,0.22,0.74,19.22,14.51,843.75,42,11,-0.78,-1.56
25,0.22,0.74,19.22,14.51,843.75,42,11,-0.78,-1.56
26,0.12,0.74,19.22,14.51,847.5,42,11,0,-1.56
27,0.12,0.74,19.22,14.51,847.5,42,11,0,-1.56
28,0.12,0.74,19.22,14.51,847.5,42,11,0,-1.56
29,0.18,0.74,19.22,14.51,847.5,42,11,0,-1.56
30,0.18,0.74,19.22,14.51,847.5,42,11,0,-1.56
31,0.18,0.74,19.22,14.51,847.5,42,11,0,-1.56
32,0.14,0.74,19.61,14.51,847.5,42,10,0,-1.56
33,0.14,0.74,19.61,14.51,847.5,42,10,0,-1.56
34,0.14,0.74,19.61,14.51,847.5,42,10,0,-1.56
35,0.16,0.74,19.22,14.51,855.25,42,10,0,-1.56
36,0.16,0.74,19.22,14.51,855.25,42,10,0,-1.56
37,0.16,0.74,19.22,14.51,855.25,42,10,0,-1.56
38,0.66,0.74,19.61,14.51,855.25,42,9,0,-1.56
39,0.66,0.74,19.61,14.51,855.25,42,9,0,-1.56
40,0.76,0.74,19.61,14.51,855.25,42,9,0,-1.56
41,0.76,0.74,19.61,14.51,855.25,42,9,0,-1.56
42,0.66,0.74,19.22,14.51,847.5,42,10,0,-1.56
43,0.66,0.74,19.22,14.51,847.5,42,10,0,-1.56
44,0.66,0.74,19.22,14.51,847.5,42,11,0,-1.56
45,0.66,0.74,19.22,14.51,847.5,42,11,0,-1.56
46,0.7,0.74,19.22,14.51,847.5,42,11,0,-1.56
47,0.7,0.74,19.22,14.51,847.5,42,11,0,-1.56
48,0.22,0.74,19.22,14.51,847.5,42,11,-0.78,-1.56
49,0.22,0.74,19.22,14.51,847.5,42,11,-0.78,-1.56
